location,date,starting_time,title,link
Västertorps T-bana utgång mot Störtloppsvägen,2019-07-17,18:00:00,Skulpturerna i Västertorp,https://abfstockholm.se/evenemang/skulpturerna-i-vastertorp/
Gamla Stan,2019-07-17,20:00:00,Visor från gränderna,https://abfstockholm.se/evenemang/visor-fran-granderna/
Mariatorget,2019-07-18,18:00:00,Det var en afton i början av maj,https://abfstockholm.se/evenemang/det-var-en-afton-i-borjan-av-maj/
Djurgårdsbron,2019-07-21,14:00:00,Härd för myggor och spindlar,https://abfstockholm.se/evenemang/hard-for-myggor-och-spindlar/
Gamla Stan,2019-07-24,20:00:00,Visor från gränderna,https://abfstockholm.se/evenemang/visor-fran-granderna/
Strandvägen/Grev Magnigatan,2019-07-25,18:00:00,Här rivs för att få luft och ljus,https://abfstockholm.se/evenemang/har-rivs-for-att-fa-luft-och-ljus/
Vintervikens Trädgårdskafé,2019-07-28,17:00:00,Visor för fred,https://abfstockholm.se/evenemang/visor-for-fred/
Gullmarsplan 2,2019-07-29,18:00:00,Från Skanskvarn till Galgbacken,https://abfstockholm.se/evenemang/fran-skanskvarn-till-galgbacken-2/
Samling vid Årsta Folkets Hus entré på Årsta Torg.,2019-07-30,18:00:00,Årsta Österut,https://abfstockholm.se/evenemang/arsta-osterut-3/
Gamla Stan,2019-07-31,20:00:00,Visor från gränderna,https://abfstockholm.se/evenemang/visor-fran-granderna/
"ABF-huset, Sveavägen 41",2019-07-31,10:00:00,Fittfakta – ett upplysande och lustfyllt samtal,https://abfstockholm.se/evenemang/fittfakta-ett-upplysande-och-lustfyllt-samtal/
"ABF-huset, Sveavägen 41",2019-08-01,10:00:00,HBTQI- och representation inom spelvärlden,https://abfstockholm.se/evenemang/hbtqi-och-jamlikhetsfragor-inom-spelvarlden/
Norra Bantorget,2019-08-01,18:00:00,"Vi råkas på något sätt, i Hvita Huset vid Nybroplan",https://abfstockholm.se/evenemang/vi-rakas-pa-nagot-satt-i-hvita-huset-vid-nybroplan/
"ABF-huset, Sveavägen 41",2019-08-02,10:00:00,Hur queer är arbetarrörelsen?,https://abfstockholm.se/evenemang/hur-queer-ar-arbetarrorelsen/
"Årstalidens dansbana, Ottsjövägen 35, 120 58 Årsta",2019-08-03,15:00:00,Folklustspelet söder om Slussen,https://abfstockholm.se/evenemang/folklustspelet-soder-om-slussen/
"Årstalidens dansbana, Ottsjövägen 35, 120 58 Årsta",2019-08-04,15:00:00,Folklustspelet söder om Slussen,https://abfstockholm.se/evenemang/folklustspelet-soder-om-slussen/
"Årstalidens dansbana, Ottsjövägen 35, 120 58 Årsta",2019-08-10,15:00:00,Folklustspelet söder om Slussen,https://abfstockholm.se/evenemang/folklustspelet-soder-om-slussen/
Axelsbergs T-bana,2019-08-12,17:00:00,Till Hägerstens gård och Vinterviken,https://abfstockholm.se/evenemang/hagerstens-gard-vinterviken-3/
Tegnérlunden,2019-08-14,07:00:00,Morgonen har något med sig som ger ungdom i sinnet,https://abfstockholm.se/evenemang/morgonen-har-nagot-med-sig-som-ger-ungdom-i-sinnet/
Linde Tvärbanestation,2019-08-14,18:00:00,"Linde, Enskede gård",https://abfstockholm.se/evenemang/linde-enskede-gard-3/
I Rålambshovsparken vid Skateparken,2019-08-14,18:00:00,Sommarbio – Pulp Fiction,https://abfstockholm.se/evenemang/pulp-fiction-sommarbio/
Gröndalsvägen 36,2019-08-15,13:00:00,Gröndal – Ormberget,https://abfstockholm.se/evenemang/grondal-ormberget/
Dramaten,2019-08-15,18:00:00,Det är tur att Strindberg finns. Vad skulle man annars ta sig till?,https://abfstockholm.se/evenemang/det-ar-tur-att-strindberg-finns-vad-skulle-man-annars-ta-sig-till/
I Rålambshovsparken vid Skateparken,2019-08-15,18:00:00,"Sommarbio – Crouching Tiger, Hidden Dragon",https://abfstockholm.se/evenemang/sommarbio-crouching-tiger-hidden-dragon/
I Rålambshovsparken vid Skateparken,2019-08-16,18:00:00,Sommarbio – Darjeeling Limited,https://abfstockholm.se/evenemang/sommarbio-darjeeling-limited/
I Rålambshovsparken vid Skateparken,2019-08-17,18:00:00,Sommarbio – Winter’s Bone,https://abfstockholm.se/evenemang/sommarbio-winters-bone/
I Rålambshovsparken vid Skateparken,2019-08-18,18:00:00,Sommarbio – Call Me By Your Name,https://abfstockholm.se/evenemang/sommarbio-call-me-by-your-name/
Rågsved Tunnelbanestation,2019-08-19,17:00:00,"Rågsved: Offentlig konst, Oasen, Graffiti i Snösätra",https://abfstockholm.se/evenemang/ragsved-offentlig-konst-oasen-graffiti-i-snosatra/
Tegnérlunden,2019-08-19,18:00:00,"Jag är icke; blott vad jag gjort, det är!",https://abfstockholm.se/evenemang/jag-ar-icke-blott-vad-jag-gjort-det-ar-2/
Årstaberg Tvärbanestation,2019-08-20,12:00:00,"Västra Årsta, Årstagård och Årstaskogen",https://abfstockholm.se/evenemang/vastra-arsta-f-d-arstagardens-skola-och-arsta-gard/
"ABF-huset, Sveavägen 41",2019-08-20,18:00:00,Från bistånd till partnerskap i Vietnam,https://abfstockholm.se/evenemang/fran-bistand-till-partnerskap-i-vietnam/
Tegnérlunden,2019-08-22,18:00:00,"Jag är icke; blott vad jag gjort, det är!",https://abfstockholm.se/evenemang/jag-ar-icke-blott-vad-jag-gjort-det-ar/
Årsta Folkets Hus på Årsta Torg,2019-08-27,18:00:00,Skulpturvandring i Årsta,https://abfstockholm.se/evenemang/skulpturvandring-i-arsta-3/
"Samling vid stora portalen, Slakthusplan 3, infarten från Palmfeltsvägen.",2019-08-28,13:00:00,Slakthusområdet – Året 1912,https://abfstockholm.se/evenemang/slakthusomradet-aret-1912/
"ABF-huset, Sveavägen 41",2019-08-28,17:00:00,Öppet hus • ABF-huset • 28/8,https://abfstockholm.se/evenemang/oppet-hus-%e2%80%a2-abf-huset-%e2%80%a2-28-8/
"ABF-huset, Sveavägen 41",2019-08-28,17:00:00,Språkrådgivning – vilken nivå ligger du på?,https://abfstockholm.se/evenemang/sprakradgivning-vilken-niva-ligger-du-pa/
"Samling utanför Aspudden T-bana, Erik Segersälls väg",2019-08-29,17:00:00,Aspudden,https://abfstockholm.se/evenemang/aspudden-5/
"ABF-huset, Sveavägen 41",2019-08-29,18:00:00,80 år efter andra världskrigets början,https://abfstockholm.se/evenemang/80-ar-efter-andra-varldskrigets-borjan/
Tvärbanestation Trekanten,2019-08-30,12:00:00,Lövholmen – Stora Fågelsången,https://abfstockholm.se/evenemang/lovholmen-st-fagelsangen/
"ABF-huset, Sveavägen 41",2019-09-01,13:00:00,Miss Sweden just wants to be alone,https://abfstockholm.se/evenemang/miss-sweden-just-wants-to-be-alone/
Hotell Malmens entré,2019-09-01,13:00:00,Vandringar i de samiska kvinnornas spår: södra turen,https://abfstockholm.se/evenemang/vandringar-i-de-samiska-kvinnornas-spar/
Farsta Bibliotek,2019-09-02,18:00:00,Filosofikafé Tema: Att angöra en brygga,https://abfstockholm.se/evenemang/att-angora-en-brygga/
"Aulan, Kräftriket 4A",2019-09-02,14:00:00,Måndagsföreläsning: Tecknens Rike. En berättelse om kineserna och deras skrivtecken,https://www.su.se/asia/om-oss/evenemang/m%C3%A5ndagsf%C3%B6rel%C3%A4sning-tecknens-rike-en-ber%C3%A4ttelse-om-kineserna-och-deras-skrivtecken-1.443365
"ABF-huset, Sveavägen 41, Stockholm",2019-09-02,18:15:00,"Forskare pratar psykologi, med Robert Johansson",https://www.psychology.su.se/om-oss/evenemang/forskare-pratar-psykologi-med-robert-johansson-1.443609
"ABF-huset, Sveavägen 41.",2019-09-03,18:00:00,Klimatförändringar i Norden från järnåldern till nutid,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/klimatf%C3%B6r%C3%A4ndringar-i-norden-fr%C3%A5n-j%C3%A4rn%C3%A5ldern-till-nutid-1.437064
"Restaurang Cirkeln, ABF-huset, Sveavägen 41",2019-09-04,18:00:00,Afterwork-Jazz med Christer Fellers,https://abfstockholm.se/evenemang/afterwork-jazz-med-christer-fellers/
